Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,Hawái (Official Video),Maluma,8,34317882,-0.13%,https://www.youtube.com/watch?v=pK060iUFWXg,2020-09-24
2,n/a,Holy,Justin Bieber,1,33125636,n/a,https://www.youtube.com/watch?v=pvPsJFRGleA,2020-09-24
3,4,Life Is Good (Official Music Video),Future,37,29718738,-0.05%,https://www.youtube.com/watch?v=l0U7SxXHkPY,2020-09-24
4,2,Dynamite,BTS,5,29451946,-0.13%,https://www.youtube.com/watch?v=gdZLi9oWNZg,2020-09-24
5,3,Ice Cream,Selena Gomez & BLACKPINK,4,25890412,-0.22%,https://www.youtube.com/watch?v=vRXZj0DzXIA,2020-09-24
6,5,حسين الجسمي -  بالبنط العريض (حصرياً) | 2020,Hussain Al Jassmi,5,24566513,-0.13%,https://www.youtube.com/watch?v=M3sxUE4eIac,2020-09-24
7,8,Caramelo Remix (Video Oficial),Ozuna & Karol G & Myke Towers,5,22729090,0.04%,https://www.youtube.com/watch?v=KilybZma5vY,2020-09-24
8,9,Relación (Remix),Sech & Daddy Yankee & ROSALÍA,3,20341455,0.06%,https://www.youtube.com/watch?v=XseIJg8Vyj0,2020-09-24
9,n/a,911 (Short Film),Lady Gaga,1,20008333,n/a,https://www.youtube.com/watch?v=58hoktsqk_Q,2020-09-24
10,7,"Agua (Music From ""Sponge On The Run"" Movie)",Tainy & J Balvin,11,19943723,-0.09%,https://www.youtube.com/watch?v=QLz9VaksClg,2020-09-24
11,n/a,Me Gusta (with Cardi B & Myke Towers),Anitta,1,19190508,n/a,https://www.youtube.com/watch?v=kIbjHtE4fd8,2020-09-24
12,6,Feelings,Sumit Goswami,10,18367562,-0.22%,https://www.youtube.com/watch?v=AZmAgoir1Tc,2020-09-24
13,10,Tattoo (Remix with Camilo),Rauw Alejandro & Camilo,11,17535440,-0.08%,https://www.youtube.com/watch?v=wJT-YKmlWJc,2020-09-24
14,11,Ay DiOs Mío! (Official Video),KAROL G,11,16922596,-0.09%,https://www.youtube.com/watch?v=Ou2c2aj5Fcw,2020-09-24
15,n/a,Taaron Ke Shehar Lofi Mix(Remix By Moodyboy),Jubin Nautiyal & Neha Kakkar,1,16788253,n/a,https://www.youtube.com/watch?v=VAZxSoKb65o,2020-09-24
16,14,How You Like That,BLACKPINK,13,16671041,-0.03%,https://www.youtube.com/watch?v=ioNng23DkIM,2020-09-24
17,15,Bande organisée,SCH & Kofs & JUL & Naps & Soso Maness & Elams & Solda & Houari,5,16170119,-0.02%,https://www.youtube.com/watch?v=-CVn3-3g_BI,2020-09-24
18,26,Se Te Nota,Lele Pons & Guaynaa,3,15678956,0.3%,https://www.youtube.com/watch?v=BHkxKmr4Ffg,2020-09-24
19,19,La Curiosidad,Myke Towers & DJ Nelson & Jay Wheeler,10,15153074,-0.05%,https://www.youtube.com/watch?v=Q_gIYp078so,2020-09-24
20,n/a,I LOVE YOU,TREASURE,1,14707718,n/a,https://www.youtube.com/watch?v=_hFarg-Obuc,2020-09-24
21,20,Dil Tod Ke,B Praak & Rochak Kohli,11,14229417,-0.07%,https://www.youtube.com/watch?v=ZTBwxy4wsBQ,2020-09-24
