Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,Yalgaar,Wily Frenzy & CarryMinati,1,85327669,n/a,https://www.youtube.com/watch?v=zzwRbKI2pn4
2,2,GOOBA,6ix9ine,5,32311196,-0.06%,https://www.youtube.com/watch?v=pPw_izFr5PA
3,3,Life Is Good (Official Music Video),Future,22,25984867,-0.02%,https://www.youtube.com/watch?v=l0U7SxXHkPY
4,28,Meri Aashiqui,Jubin Nautiyal & Rochak Kohli,2,22343617,1.43%,https://www.youtube.com/watch?v=SVjkxdjivts
5,1,MORE & MORE,TWICE,2,19389900,-0.45%,https://www.youtube.com/watch?v=mH0_XpSHkZo
6,6,Dance Monkey,Tones And I,39,19004866,0.03%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
7,5,Genda Phool,Badshah,12,18645588,-0.11%,https://www.youtube.com/watch?v=SD4Z8dlZPd8
8,4,Rain On Me (Official Music Video),Ariana Grande & Lady Gaga,3,15855989,-0.33%,https://www.youtube.com/watch?v=AoAm4om0wTs
9,39,#VIDEO | बबुआ मरल भूख से | Gunjan Singh | गरीब मजदुर का दर्द | Bhojpuri Sad Song 2020,Gunjan Singh,2,15496820,0.87%,https://www.youtube.com/watch?v=JAVbxmiCxxk
10,9,Yo Perreo Sola,Bad Bunny,11,13864264,-0.03%,https://www.youtube.com/watch?v=GtSRKwDCaZM
11,15,Lehanga,Jass Manak,44,13070752,0.02%,https://www.youtube.com/watch?v=RKioDWlajvo
12,11,Favorito (Official Video),Camilo,11,12504621,-0.1%,https://www.youtube.com/watch?v=2mY7AFTtYwQ
13,13,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,47,11669191,-0.11%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
14,16,#AlaVaikunthapurramuloo - ButtaBomma Full Video Song (4K) | Allu Arjun | Thaman S | Armaan Malik,Aditya Music,16,11575061,-0.04%,https://www.youtube.com/watch?v=2mDCVzruYzQ
15,n/a,GULZAAR CHHANIWALA - DON (Full Video) | Haryanvi Songs 2020,Gulzaar Chhaniwala,1,11458322,n/a,https://www.youtube.com/watch?v=r_Xf0fpuUyA
16,24,Sigues Con El,Dimelo Flow & Arcángel,26,11182555,0.09%,https://www.youtube.com/watch?v=VRUjdlCynU0
17,18,Tusa (Official Video),KAROL G & Nicki Minaj,31,11067632,-0.03%,https://www.youtube.com/watch?v=tbneQDc2H3I
18,23,LATHI,Weird Genius & Sara Fajira,4,10954255,0.03%,https://www.youtube.com/watch?v=8uy7G2JXVSA
19,30,La Jeepeta Remix (Lyric Video),Nio Garcia & Brray & Juanka & Anuel AA & Myke Towers,7,10783489,0.19%,https://www.youtube.com/watch?v=yErttA9tEro
20,25,Gangnam Style,PSY,20,10648845,0.07%,https://www.youtube.com/watch?v=9bZkp7q19f0
21,7,Hasta que Dios diga,Bad Bunny & Anuel AA,2,10507786,-0.41%,https://www.youtube.com/watch?v=nCzwGVKpjpo
22,20,Toosie Slide (Official Music Video),Drake,10,10409542,-0.07%,https://www.youtube.com/watch?v=xWggTb45brM
23,17,Tuğçe Kandemir - Kurban Olduğum,Tuğçe Kandemir,3,10374882,-0.14%,https://www.youtube.com/watch?v=QW9nTO47ncU
24,57,Relación,Sech,2,9665557,0.37%,https://www.youtube.com/watch?v=c6D8v6DhKc4
25,8,Daechwita,Agust D,3,9533144,-0.4%,https://www.youtube.com/watch?v=qGjAWJ2zWWI
26,32,death bed (coffee for your head) (Official Video),Powfu,9,9323693,0.04%,https://www.youtube.com/watch?v=jJPMnTXl63E
27,19,Jal Jal Ke Dhuan,Sonu Nigam,5,9179500,-0.19%,https://www.youtube.com/watch?v=NfMnMCC8anU
28,29,Djadja,Aya Nakamura,20,9136019,0.01%,https://www.youtube.com/watch?v=iPGgnzc34tY
29,37,El Efecto,Rauw Alejandro & Chencho Corleone,7,9101423,0.06%,https://www.youtube.com/watch?v=vpD_EvXiGQ4
30,27,SICKO MODE,Travis Scott,28,9100268,-0.04%,https://www.youtube.com/watch?v=6ONRf7h3Mdk
31,21,Yummy (Official Video),Justin Bieber,23,9020972,-0.18%,https://www.youtube.com/watch?v=8EJ3zbKTWQ8
