Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,11,Easy On Me (Official Video),Adele,2,11168665,5.05%,https://www.youtube.com/watch?v=U3ASj1L6_sY
2,1,Who Want Smoke?? (Directed by Cole Bennett),Nardo Wick,2,6002246,-0.04%,https://www.youtube.com/watch?v=U2SNwtE-0Us
3,n/a,Pissed Me Off,Lil Durk,1,5497859,n/a,https://www.youtube.com/watch?v=DdDdQZHH2cM
4,3,Fancy Like,Walker Hayes,17,2395296,0.02%,https://www.youtube.com/watch?v=G_zuB-ogIBw
5,4,Life Support,YoungBoy Never Broke Again,6,2226732,0%,https://www.youtube.com/watch?v=Z9AnasYjtvg
6,n/a,Lets Go Brandon,Loza Alexander,1,2122605,n/a,https://www.youtube.com/watch?v=qr_F_XQrukM
7,8,Vaccine,NoCap,11,1858733,-0.09%,https://www.youtube.com/watch?v=3MLjfnouo88
8,10,EVERY CHANCE I GET (Official Music Video),DJ Khaled,25,1738578,-0.07%,https://www.youtube.com/watch?v=BTivsHlVcGU
9,12,STAY (Official Video),Justin Bieber & The Kid Laroi,15,1718247,-0.06%,https://www.youtube.com/watch?v=kTJczUoc26U
10,n/a,FREE RIC [Official Music Video],42 Dugg,1,1715565,n/a,https://www.youtube.com/watch?v=s4ovhffiitU
11,17,Maybach feat. Future (Official Music Video),42 Dugg,22,1598310,0.02%,https://www.youtube.com/watch?v=gVGRIBWy6ig
12,5,Face Off,Tech N9ne & King Iso & Dwayne Johnson & Joey Cool,2,1581454,-0.27%,https://www.youtube.com/watch?v=E9T78bT26sk
13,15,Wild Side (Official Video),Normani,14,1566255,-0.06%,https://www.youtube.com/watch?v=DFMEBquxeO8
14,18,Outside (Better Days),MO3 & Og Bobby Billions,31,1561653,0%,https://www.youtube.com/watch?v=VT0YV-hJHzg
15,19,Ya Supérame (En Vivo),Grupo Firme,12,1550161,0.1%,https://www.youtube.com/watch?v=g2BzGJnNvEw
16,13,Way 2 Sexy (Official Video),Drake ft. Future and Young Thug,7,1521812,-0.14%,https://www.youtube.com/watch?v=vX9msKu75qs
17,37,Street Runner,Rod Wave,33,1439338,0.38%,https://www.youtube.com/watch?v=AeaR5QbXgpM
